person_id,identifier,scheme
uk.org.publicwhip/person/10134,5885,pims_id
uk.org.publicwhip/person/10134,Q332973,wikidata
uk.org.publicwhip/person/10135,214,historichansard_person_id
uk.org.publicwhip/person/10135,215,datadotparl_id
uk.org.publicwhip/person/10135,4904,pims_id
uk.org.publicwhip/person/10135,Q334443,wikidata
uk.org.publicwhip/person/10136,Q334520,wikidata
uk.org.publicwhip/person/10136,2732,pims_id
uk.org.publicwhip/person/10136,215,historichansard_person_id
uk.org.publicwhip/person/10136,3786,datadotparl_id
uk.org.publicwhip/person/10137,216,historichansard_person_id
uk.org.publicwhip/person/10137,Q5612664,wikidata
uk.org.publicwhip/person/10138,217,historichansard_person_id
uk.org.publicwhip/person/10138,Q5612827,wikidata
uk.org.publicwhip/person/10139,218,historichansard_person_id
uk.org.publicwhip/person/10139,Q337742,wikidata
uk.org.publicwhip/person/10140,Q5613021,wikidata
uk.org.publicwhip/person/10140,219,historichansard_person_id
uk.org.publicwhip/person/10141,220,historichansard_person_id
uk.org.publicwhip/person/10141,437,datadotparl_id
uk.org.publicwhip/person/10141,919,yournextmp
uk.org.publicwhip/person/10141,2764,pims_id
uk.org.publicwhip/person/10141,Q291441,wikidata
uk.org.publicwhip/person/10142,221,historichansard_person_id
uk.org.publicwhip/person/10142,Q4766346,wikidata
uk.org.publicwhip/person/10143,Q291615,wikidata
uk.org.publicwhip/person/10143,2791,pims_id
uk.org.publicwhip/person/10143,181,datadotparl_id
uk.org.publicwhip/person/10143,3601,yournextmp
uk.org.publicwhip/person/10143,222,historichansard_person_id
uk.org.publicwhip/person/10144,223,historichansard_person_id
uk.org.publicwhip/person/10144,Q5614148,wikidata
uk.org.publicwhip/person/10145,224,historichansard_person_id
uk.org.publicwhip/person/10145,Q6503963,wikidata
uk.org.publicwhip/person/10146,4981,pims_id
uk.org.publicwhip/person/10146,Q336214,wikidata
uk.org.publicwhip/person/10146,225,historichansard_person_id
uk.org.publicwhip/person/10146,496,datadotparl_id
uk.org.publicwhip/person/10147,226,historichansard_person_id
uk.org.publicwhip/person/10147,308,datadotparl_id
uk.org.publicwhip/person/10147,1867,yournextmp
uk.org.publicwhip/person/10147,2803,pims_id
uk.org.publicwhip/person/10147,Q291683,wikidata
uk.org.publicwhip/person/10148,227,historichansard_person_id
uk.org.publicwhip/person/10148,Q333953,wikidata
uk.org.publicwhip/person/10149,Q338176,wikidata
uk.org.publicwhip/person/10149,228,historichansard_person_id
uk.org.publicwhip/person/10150,Q4943807,wikidata
uk.org.publicwhip/person/10150,229,historichansard_person_id
uk.org.publicwhip/person/10151,79,historichansard_person_id
uk.org.publicwhip/person/10151,Q3405113,wikidata
uk.org.publicwhip/person/10152,230,historichansard_person_id
uk.org.publicwhip/person/10152,Q333784,wikidata
uk.org.publicwhip/person/10153,231,historichansard_person_id
uk.org.publicwhip/person/10153,596,datadotparl_id
uk.org.publicwhip/person/10153,2841,pims_id
uk.org.publicwhip/person/10153,Q296639,wikidata
uk.org.publicwhip/person/10154,232,historichansard_person_id
uk.org.publicwhip/person/10154,Q6384251,wikidata
uk.org.publicwhip/person/10155,233,historichansard_person_id
uk.org.publicwhip/person/10155,188,datadotparl_id
uk.org.publicwhip/person/10155,4507,yournextmp
uk.org.publicwhip/person/10155,2851,pims_id
uk.org.publicwhip/person/10155,Q296689,wikidata
uk.org.publicwhip/person/10156,Q4944283,wikidata
uk.org.publicwhip/person/10156,234,historichansard_person_id
